год,пол,регион,количество
2013,Мужчины,Брестская область,37463.0
2013,Мужчины,Витебская область,33949.0
2013,Мужчины,Гомельская область,57603.0
2013,Мужчины,Гродненская область,7222.0
2013,Мужчины,г. Минск,30997.0
2013,Мужчины,Минская область,7159.0
2013,Мужчины,Могилевская область,26828.0
2014,Оба пола,Республика Беларусь,281727.0
2014,Оба пола,Брестская область,52532.0
2014,Оба пола,Витебская область,43013.0
2014,Оба пола,Гомельская область,72815.0
2014,Оба пола,Гродненская область,16208.0
2014,Оба пола,г. Минск,53046.0
2014,Оба пола,Минская область,8843.0
2014,Оба пола,Могилевская область,35270.0
2014,Женщины,Республика Беларусь,100288.0
2014,Женщины,Брестская область,17991.0
2014,Женщины,Витебская область,13841.0
2014,Женщины,Гомельская область,22318.0
2014,Женщины,Гродненская область,9457.0
2014,Женщины,г. Минск,22656.0
2014,Женщины,Минская область,2768.0
2014,Женщины,Могилевская область,11257.0
2014,Мужчины,Республика Беларусь,181439.0
2014,Мужчины,Брестская область,34541.0
2014,Мужчины,Витебская область,29172.0
2014,Мужчины,Гомельская область,50497.0
2014,Мужчины,Гродненская область,6751.0
2014,Мужчины,г. Минск,30390.0
2014,Мужчины,Минская область,6075.0
2014,Мужчины,Могилевская область,24013.0
2015,Оба пола,Республика Беларусь,254354.0
2015,Оба пола,Брестская область,46051.0
2015,Оба пола,Витебская область,38191.0
2015,Оба пола,Гомельская область,63113.0
2015,Оба пола,Гродненская область,12437.0
2015,Оба пола,г. Минск,55113.0
2015,Оба пола,Минская область,8122.0
2015,Оба пола,Могилевская область,31327.0
2015,Женщины,Республика Беларусь,93651.0
2015,Женщины,Брестская область,16311.0
2015,Женщины,Витебская область,12722.0
2015,Женщины,Гомельская область,20610.0
2015,Женщины,Гродненская область,7073.0
2015,Женщины,г. Минск,23542.0
2015,Женщины,Минская область,2763.0
2015,Женщины,Могилевская область,10630.0
2015,Мужчины,Республика Беларусь,160703.0
2015,Мужчины,Брестская область,29740.0
2015,Мужчины,Витебская область,25469.0
2015,Мужчины,Гомельская область,42503.0
2015,Мужчины,Гродненская область,5364.0
2015,Мужчины,г. Минск,31571.0
2015,Мужчины,Минская область,5359.0
2015,Мужчины,Могилевская область,20697.0
2016,Оба пола,Республика Беларусь,214553.0
2016,Оба пола,Брестская область,39103.0
2016,Оба пола,Витебская область,31023.0
2016,Оба пола,Гомельская область,54583.0
2016,Оба пола,Гродненская область,9412.0
2016,Оба пола,г. Минск,47324.0
2016,Оба пола,Минская область,7013.0
2016,Оба пола,Могилевская область,26095.0
2016,Женщины,Республика Беларусь,71299.0
2016,Женщины,Брестская область,12571.0
2016,Женщины,Витебская область,9337.0
2016,Женщины,Гомельская область,16142.0
2016,Женщины,Гродненская область,4798.0
2016,Женщины,г. Минск,18486.0
2016,Женщины,Минская область,2202.0
2016,Женщины,Могилевская область,7763.0
2016,Мужчины,Республика Беларусь,143154.0
2016,Мужчины,Брестская область,26532.0
2016,Мужчины,Витебская область,21686.0
2016,Мужчины,Гомельская область,38441.0
2016,Мужчины,Гродненская область,4614.0
2016,Мужчины,г. Минск,28838.0
2016,Мужчины,Минская область,4711.0
2016,Мужчины,Могилевская область,18332.0
2017,Оба пола,Республика Беларусь,224917.0
2017,Оба пола,Брестская область,39602.0
2017,Оба пола,Витебская область,34131.0
2017,Оба пола,Гомельская область,58793.0
2017,Оба пола,Гродненская область,8975.0
2017,Оба пола,г. Минск,47570.0
2017,Оба пола,Минская область,7407.0
2017,Оба пола,Могилевская область,28439.0
2017,Женщины,Республика Беларусь,73577.0
2017,Женщины,Брестская область,12702.0
2017,Женщины,Витебская область,9820.0
2017,Женщины,Гомельская область,17020.0
2017,Женщины,Гродненская область,4578.0
2017,Женщины,г. Минск,18846.0
2017,Женщины,Минская область,2279.0
2017,Женщины,Могилевская область,8332.0
2017,Мужчины,Республика Беларусь,151340.0
2017,Мужчины,Брестская область,26900.0
2017,Мужчины,Витебская область,24311.0
2017,Мужчины,Гомельская область,41773.0
2017,Мужчины,Гродненская область,4397.0
2017,Мужчины,г. Минск,28724.0
2017,Мужчины,Минская область,5128.0
2017,Мужчины,Могилевская область,20107.0
2018,Оба пола,Республика Беларусь,246875.0
2018,Оба пола,Брестская область,46533.0
2018,Оба пола,Витебская область,40303.0
2018,Оба пола,Гомельская область,55780.0
2018,Оба пола,Гродненская область,9214.0
2018,Оба пола,г. Минск,53036.0
2018,Оба пола,Минская область,8358.0
2018,Оба пола,Могилевская область,33651.0
2018,Женщины,Республика Беларусь,81969.0
2018,Женщины,Брестская область,15494.0
2018,Женщины,Витебская область,11664.0
2018,Женщины,Гомельская область,16524.0
2018,Женщины,Гродненская область,4661.0
2018,Женщины,г. Минск,21073.0
2018,Женщины,Минская область,2666.0
2018,Женщины,Могилевская область,9887.0
2018,Мужчины,Республика Беларусь,164906.0
2018,Мужчины,Брестская область,31039.0
2018,Мужчины,Витебская область,28639.0
2018,Мужчины,Гомельская область,39256.0
2018,Мужчины,Гродненская область,4553.0
2018,Мужчины,г. Минск,31963.0
2018,Мужчины,Минская область,5692.0
2018,Мужчины,Могилевская область,23764.0
2019,Оба пола,Республика Беларусь,270902.0
2019,Оба пола,Брестская область,52472.0
2019,Оба пола,Витебская область,48806.0
2019,Оба пола,Гомельская область,48782.0
2019,Оба пола,Гродненская область,9893.0
2019,Оба пола,г. Минск,63386.0
2019,Оба пола,Минская область,10112.0
2019,Оба пола,Могилевская область,37451.0
2019,Женщины,Республика Беларусь,88194.0
2019,Женщины,Брестская область,16862.0
2019,Женщины,Витебская область,13091.0
2019,Женщины,Гомельская область,14247.0
2019,Женщины,Гродненская область,5138.0
2019,Женщины,г. Минск,24810.0
2019,Женщины,Минская область,3265.0
2019,Женщины,Могилевская область,10781.0
2019,Мужчины,Республика Беларусь,178708.0
2019,Мужчины,Брестская область,35610.0
2019,Мужчины,Витебская область,31715.0
2019,Мужчины,Гомельская область,34535.0
2019,Мужчины,Гродненская область,4755.0
2019,Мужчины,г. Минск,38576.0
2019,Мужчины,Минская область,6847.0
